experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time
standard_experiment,ce8a7057-0b17-4ede-86b5-5e029e4c7311,1,0,2,A,4
standard_experiment,c9846f38-afe5-47e8-998f-d50a4b471230,2,0,2,A,8
standard_experiment,983391d9-4b4b-401d-ae6c-bdb45dd713d3,3,0,2,A,12
standard_experiment,30f18da0-8b33-4df4-a60a-1844c6c21cb6,0,1,3,B,17
standard_experiment,ce8a7057-0b17-4ede-86b5-5e029e4c7311,1,1,3,B,21
standard_experiment,c9846f38-afe5-47e8-998f-d50a4b471230,2,1,3,B,25
standard_experiment,983391d9-4b4b-401d-ae6c-bdb45dd713d3,3,1,3,B,29
standard_experiment,30f18da0-8b33-4df4-a60a-1844c6c21cb6,0,2,4,C,40
standard_experiment,ce8a7057-0b17-4ede-86b5-5e029e4c7311,1,2,4,C,44
standard_experiment,c9846f38-afe5-47e8-998f-d50a4b471230,2,2,4,C,48
standard_experiment,983391d9-4b4b-401d-ae6c-bdb45dd713d3,3,2,4,C,52
standard_experiment,d48c8365-94df-4d00-931c-0dd57a6c3da2,4,0,2,A,56
standard_experiment,3ed0acf4-8c48-469d-a096-528054117663,5,0,2,A,60
standard_experiment,d48c8365-94df-4d00-931c-0dd57a6c3da2,4,1,3,B,73
standard_experiment,3ed0acf4-8c48-469d-a096-528054117663,5,1,3,B,77
standard_experiment,d48c8365-94df-4d00-931c-0dd57a6c3da2,4,2,4,C,96
standard_experiment,3ed0acf4-8c48-469d-a096-528054117663,5,2,4,C,100
